Plate,Year,Make,Model,Submodel,Type,Odometer,Colour,Fuel,Transmission,Drive,FirstNZRegistration,OriginalCountry,PreviousCountry,NumberOfOwners,RRPVehicle,RRP,ResidualValue,LowValue,AverageValue,HighValue,Confidence,Plate,VIN,ModelCode,VehicleID,ErrorCode,Explanation,LabelVersion,LabelID,LastRegUpdate,ModelCode,Variant,Make,Model,SubModel,VehicleType,Seats,Doors,LabelFormat,FuelType,EngineSize,EnginePower,Transmission,Drive,Weight,FuelStars,FuelConsumption,YearlyCost,RUCrate,RUC,CO2Stars,CO2,YearlyCO2,SafetyStars,DriverSafetyStars,DriverSafetyTest,FuelPromoBadge,SafetyPromoBadge,LikeVehicle,Item,Chassis,mvrYear,mvrFirstNZreg,mvrOrigCntry,mvrPrevCntry,mvrRegType,mvrRegExpires,mvrWOFExpires,mvrODO,mvrTotOwners,mvrColourBase,mvrColourSecondary,mvrRegMake,mvrRegModel,mvrRegSubModel,SubmodelSpec,CreatedDateUTC,LastUpdatedUTC,IsCached
MLU938,2019,TOYOTA,HILUX,SR TD DC,Pickup / Chassis cab(4x4),50991,SILVER,Diesel,6-gear automatic,4WD,30/10/2019 0:00,THA,,1,2019 Toyota Hilux TD SR (IFDTU),48490,0.59926868,26700,29050,31950,80,MLU938,MR0KA3CDX01234129,IFDTU;,2fcb23f8-1bcc-4610-a120-8e28acfcb13b,0,,2023(a),,13/03/2024,IFDTU;,0,TOYOTA,HILUX,SR TD DC,Pickup / Chassis cab(4x4),5,4,,Diesel,2755,130,6-gear automatic,4WD,3000,3,9.6,3750,76,1064,2,252,3.53,10,0,Based on 2019 ANCAP rating for 19+ models,,safety-star-5.png,8|84||7|86||6|79||5|70||4|64||15|2633||13|4111||24|4886||25|4912||26|4910||27|5285||,49365,,2019,29/10/2019,THA,,L,28/10/2024,24/10/2024,50991,1,SILVER,,TOYOTA,HILUX,SR TD DC 2.8DT/4WD,2.8DT/4WD/6AT/UT/4DR/5S,,,
HSZ409,2014,TOYOTA,HILUX,SR5 TD DC,Pickup / Chassis cab(4x4),111863,WHITE,Diesel,5-gear manual,4WD,27/11/2014 0:00,THA,,2,2013 Toyota Hilux SR5 TD DC (KFDSM),59390,0.38215489,20850,22650,24950,80,HSZ409,MR0FZ29G601746900,KFDSM;,edaf3652-21a6-4dd3-9292-29415da7fdcc,0,,2023(a),,17/10/2023,KFDSM;,0,TOYOTA,HILUX,SR5 TD DC,Pickup / Chassis cab(4x4),5,4,,Diesel,2982,126,5-gear manual,4WD,2780,3,9.5,3720,76,1064,2,253,3.54,4,8,Based on 2023 UCSR rating for 05-15 models,,safety-star-2.png,8|85||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4913||25|4912||26|4910||27|5285||,13623,,2014,26/11/2014,THA,,L,13/02/2024,26/10/2024,111863,2,WHITE,,TOYOTA,HILUX,SR5 4WD 3.0TD DC 5M,3.0D/4WD/5MT/UT/4DR/5S,,,
JJR844,2015,TOYOTA,HILUX,TD DC,Pickup / Chassis cab(4x4),119614,WHITE,Diesel,5-gear manual,4WD,27/10/2015 0:00,THA,,3,2013 Toyota Hilux TD DC (KFDUM),54290,0.413281264,20600,22400,24650,80,JJR844,MR0FZ22G901209366,KFDUM;,2b566190-8617-4792-bf8c-1a6aab8dd789,0,,2023(a),,24/06/2024,KFDUM;,0,TOYOTA,HILUX,TD DC,Pickup / Chassis cab(4x4),5,4,,Diesel,2982,126,5-gear manual,4WD,2780,3,9.5,3720,76,1064,2,253,3.54,4,8,Based on 2023 UCSR rating for 05-15 models,,safety-star-2.png,8|85||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4913||25|4912||26|4910||27|5285||,13627,,2015,26/10/2015,THA,,L,25/10/2024,23/06/2025,119614,3,WHITE,,TOYOTA,HILUX,4WD 3.0TD DC UTE 5M,3.0D/4WD/5MT/UT/4DR/5S,,,
GCN161,2011,TOYOTA,HILUX,TD DC,Pickup / Chassis cab(4x4),121872,WHITE,Diesel,5-gear manual,4WD,31/10/2011 0:00,THA,,1,2011 Toyota Hilux TD DC (KFDUM),54290,0.290709923,14500,15750,17350,80,GCN161,MR0FZ22G301057746,KFDUM;,09869f4c-93c9-4dea-8ac3-e1da09359343,0,,2023(a),,4/06/2024,KFDUM;,0,TOYOTA,HILUX,TD DC,Pickup / Chassis cab(4x4),5,4,,Diesel,2982,126,5-gear manual,4WD,2780,3,9.5,3720,76,1064,2,253,3.54,4,8,Based on 2023 UCSR rating for 05-15 models,,safety-star-2.png,8|85||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4913||25|4912||26|4910||27|5285||,13627,,2011,30/10/2011,THA,,L,29/10/2024,3/06/2025,121872,1,WHITE,,TOYOTA,HILUX,4WD 3.0TD DC UTE 5M,3.0D/4WD/5MT/UT/4DR/5S,,,
PCR528,2022,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),10,GREY,Diesel,10-gear automatic,4WD,22/03/2022 0:00,THA,,1,2022 Ford RANGER XLT BiTurbo (Entity #aZLJ99F MY2021.75) (018438),66490,0.949333886,54900,63100,68150,80,PCR528,MPBUMFF60MX369848,018438;,1ab2e0de-9e44-4fde-a2ce-db83ac2b47ca,0,,2023(a),,24/04/2024,018438;,0,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),5,4,,Diesel,1996,157,10-gear automatic,4WD,3200,4,8.5,3440,76,1064,3,225,3.15,6,10,Based on 2023 VSRR rating,,safety-star-3.png,8|84||7|86||6|78||5|70||4|64||15|2633||13|4111||24|4888||25|4911||26|4910||27|5285||,54007,,2022,21/03/2022,THA,,L,20/03/2025,9/12/2024,8,1,GREY,,FORD,RANGER,XLT DOUBLE CAB W/SA,2.0D/4WD/10AT/UT/4DR/5S,,,
NZF75,2022,FORD,RANGER,XL DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),19,WHITE,Diesel,6-gear automatic,4WD,27/01/2022 0:00,THA,,1,2022 Ford RANGER XL (Entity #aZLD95D MY2021.75) (018436),60690,0.937742751,51750,56900,63150,80,NZF75,MPBUMFF50MX371391,018436;,cd91428d-b10a-446b-b522-e3f851787bf5,0,,2023(a),,24/04/2024,018436;,0,FORD,RANGER,XL DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),5,4,,Diesel,3198,147,6-gear automatic,4WD,3200,2,9.9,3840,76,1064,2,262,3.67,6,10,Based on 2023 VSRR rating,,safety-star-3.png,8|84||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4888||25|4912||26|4910||27|5285||,54005,,2022,26/01/2022,THA,,L,25/01/2025,18/01/2025,19,1,WHITE,,FORD,RANGER,XL DOUBLE CAB W/SA 3,3.2D/4WD/6AT/UT/4DR/5S,,,
NGY981,2021,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),38286,SILVER,Diesel,6-gear automatic,4WD,11/02/2021 0:00,THA,,1,2021 Ford RANGER XLT (Entity #aVLJ95D MY2020.75) (018403),64990,0.742521321,43900,48250,53550,80,NGY981,MPBUMFF50LX305293,018403;,6fda5b01-0290-4b44-9e83-ea1c65d37158,0,,2023(a),,24/04/2024,018403;,0,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),5,4,,Diesel,3198,147,6-gear automatic,4WD,3200,2,9.9,3840,76,1064,2,262,3.67,6,10,Based on 2023 VSRR rating,,safety-star-3.png,8|84||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4888||25|4912||26|4910||27|5285||,52065,,2021,10/02/2021,THA,,L,9/02/2025,10/02/2025,38286,1,SILVER,,FORD,RANGER,XLT DOUBLE CAB W/SA,3.2D/4WD/6AT/UT/4DR/5S,,,
NDJ904,2020,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),41569,WHITE,Diesel,6-gear automatic,4WD,10/11/2020 0:00,THA,,1,2020 Ford RANGER XLT (Entity #aVLJ95D MY2020.75) (018403),64490,0.689649264,40450,44450,49350,80,NDJ904,MPBUMFF50LX302331,018403;,2933277c-6a22-4af5-8b9c-fecb81e0ea4b,0,,2023(a),,24/04/2024,018403;,0,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),5,4,,Diesel,3198,147,6-gear automatic,4WD,3200,2,9.9,3840,76,1064,2,262,3.67,6,10,Based on 2023 VSRR rating,,safety-star-3.png,8|84||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4888||25|4912||26|4910||27|5285||,52065,,2020,9/11/2020,THA,,L,8/11/2024,1/11/2024,41569,1,WHITE,,FORD,RANGER,XLT DOUBLE CAB W/SA,3.2D/4WD/6AT/UT/4DR/5S,,,
MJZ447,2019,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),81639,GREY,Diesel,6-gear automatic,4WD,23/09/2019 0:00,THA,,1,2019 Ford RANGER XLT (Entity #aRLJ95D MY2020.25) (018387),64490,0.615454731,36100,39650,44050,80,MJZ447,MPBUMFF50KX240774,018387;,9620ab0c-0a3c-4b4e-8b3c-6a312d5ec7a4,0,,2023(a),,22/08/2024,018387;,0,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),5,4,,Diesel,3198,147,6-gear automatic,4WD,3200,2,9.9,3840,76,1064,2,262,3.67,6,10,Based on 2023 VSRR rating,,safety-star-3.png,8|84||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4888||25|4912||26|4910||27|5285||,52065,,2019,22/09/2019,THA,,L,21/09/2025,4/09/2025,81639,1,GREY,,FORD,RANGER,XLT DOUBLE CAB W/SA,3.2D/4WD/6AT/UT/4DR/5S,,,
LQM739,2018,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),85600,GREY,Diesel,6-gear automatic,4WD,14/09/2018 0:00,THA,,1,2018 Ford RANGER XLT DOUBLE CAB W/SA (018357),65490,0.566029527,33700,37050,41100,80,LQM739,MPBUMFF50JX175957,018357;,6fe0d875-4dd3-4371-ad4a-6a54643fcec8,0,,2023(a),,14/08/2024,018357;,0,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),5,4,,Diesel,3198,147,6-gear automatic,4WD,3200,2,9.9,3840,76,1064,2,262,3.67,6,10,Based on 2023 VSRR rating,,safety-star-3.png,8|84||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4888||25|4912||26|4910||27|5285||,43102,,2018,13/09/2018,THA,,L,12/09/2025,11/11/2024,85600,1,GREY,,FORD,RANGER,XLT DOUBLE CAB W/SA,3.2D/4WD/6AT/UT/4DR/5S,,,
LPQ636,2018,FORD,RANGER,XLT DOUBLE CAB W/S,Pickup / Chassis cab(4x4),84196,GREY,Diesel,6-gear manual,4WD,29/08/2018 0:00,THA,,1,2018 Ford RANGER XLT DOUBLE CAB W/S (018356),61040,0.593843989,32950,36200,40200,80,LPQ636,MPBUMFF50JX174585,018356;,7e8a466d-7b1a-4a9c-96a8-579e9006e70e,0,,2023(a),,14/07/2024,018356;,0,FORD,RANGER,XLT DOUBLE CAB W/S,Pickup / Chassis cab(4x4),5,4,,Diesel,3198,147,6-gear manual,4WD,3200,3,9.5,3720,76,1064,2,250,3.5,6,10,Based on 2023 VSRR rating,,safety-star-3.png,8|85||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4888||25|4912||26|4910||27|5285||,43101,,2018,28/08/2018,THA,,L,27/08/2025,3/09/2024,84196,1,GREY,,FORD,RANGER,XLT DOUBLE CAB W/S 3,3.2D/4WD/6MT/UT/4DR/5S,,,
KZW959,2017,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),145447,SILVER,Diesel,6-gear automatic,4WD,9/11/2017 0:00,THA,,2,2017 Ford RANGER XLT DOUBLE CAB W/SA (018357),65490,0.458983841,27350,30050,33350,80,KZW959,MPBUMFF50HX137259,018357;,8c595d51-eb1f-4113-9d3b-9d137dd14367,0,,2023(a),,27/05/2024,018357;,0,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),5,4,,Diesel,3198,147,6-gear automatic,4WD,3200,2,9.9,3840,76,1064,2,262,3.67,6,10,Based on 2023 VSRR rating,,safety-star-3.png,8|84||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4888||25|4912||26|4910||27|5285||,43102,,2017,8/11/2017,THA,,L,7/11/2024,10/12/2024,145447,2,SILVER,,FORD,RANGER,XLT DOUBLE CAB W/SA,3.2D/4WD/6AT/UT/4DR/5S,,,
KZW958,2017,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),121689,SILVER,Diesel,6-gear automatic,4WD,9/11/2017 0:00,THA,,1,2017 Ford RANGER XLT DOUBLE CAB W/SA (018357),65490,0.506766165,30200,33150,36800,80,KZW958,MPBUMFF50HX137216,018357;,83dcfad3-0680-428b-b867-40a05246d5ae,0,,2023(a),,24/04/2024,018357;,0,FORD,RANGER,XLT DOUBLE CAB W/SA,Pickup / Chassis cab(4x4),5,4,,Diesel,3198,147,6-gear automatic,4WD,3200,2,9.9,3840,76,1064,2,262,3.67,6,10,Based on 2023 VSRR rating,,safety-star-3.png,8|84||7|86||6|80||5|70||4|64||15|2633||13|4111||24|4888||25|4912||26|4910||27|5285||,43102,,2017,8/11/2017,THA,,L,7/11/2024,6/11/2024,121689,1,SILVER,,FORD,RANGER,XLT DOUBLE CAB W/SA,3.2D/4WD/6AT/UT/4DR/5S,,,
